hash,author,date,description
015b0f8,Ayaz Salikhov,Tue Jul 6 10:01:12 2021 +0300,Merge pull request #1397 from jupyter/mathbunnyru-patch-1
d13be7a,Ayaz Salikhov,Tue Jul 6 09:59:00 2021 +0300,Update hadolint docker version
5956af0,Erik Sundell,Tue Jul 6 01:23:25 2021 +0200,Merge pull request #1396 from jupyter/pre-commit-ci-update-config
8eb98bc,pre-commit-ci[bot],Mon Jul 5 22:16:54 2021 +0000,[pre-commit.ci] pre-commit autoupdate
7999479,Ayaz Salikhov,Fri Jul 2 21:18:48 2021 +0300,Merge pull request #1395 from mathbunnyru/asalikhov/some_updates
78a7275,Ayaz Salikhov,Fri Jul 2 20:34:38 2021 +0300,Update mamba and some packages
73546b7,Erik Sundell,Tue Jun 29 14:21:00 2021 +0200,Merge pull request #1393 from mathbunnyru/asalikhov/remove_microbadge
ace42f3,Ayaz Salikhov,Tue Jun 29 12:50:35 2021 +0300,Remove microbadge usage
d75d70f,Ayaz Salikhov,Tue Jun 29 02:23:35 2021 +0300,Merge pull request #1387 from consideRatio/pr/add-black
f28efe4,Ayaz Salikhov,Tue Jun 29 01:51:43 2021 +0300,Update tagging/manifests.py
054aff2,Ayaz Salikhov,Tue Jun 29 01:51:33 2021 +0300,Update tagging/taggers.py
54d4c06,Ayaz Salikhov,Tue Jun 29 01:51:16 2021 +0300,Update tagging/taggers.py
e52fcda,Ayaz Salikhov,Tue Jun 29 01:51:08 2021 +0300,Update tagging/tag_image.py
9dbf3cd,Ayaz Salikhov,Tue Jun 29 01:51:00 2021 +0300,Update tagging/manifests.py
a050b94,Ayaz Salikhov,Tue Jun 29 01:50:53 2021 +0300,Update tagging/manifests.py
45c8443,Ayaz Salikhov,Tue Jun 29 01:50:46 2021 +0300,Update tagging/create_manifests.py
9159c54,Ayaz Salikhov,Tue Jun 29 01:50:38 2021 +0300,Update tagging/create_manifests.py
967f0c2,Ayaz Salikhov,Tue Jun 29 01:50:30 2021 +0300,Update conftest.py
411663b,Erik Sundell,Mon Jun 28 15:09:13 2021 +0200,black style tweaks: add trailing commas
962a630,Erik Sundell,Mon Jun 28 15:08:32 2021 +0200,Apply suggestions from code review
a582c24,Erik Sundell,Mon Jun 28 13:03:40 2021 +0200,black style tweaks: manually added commas etc to tweak formatting
fe3968e,Erik Sundell,Mon Jun 28 12:32:21 2021 +0200,pre-commit: run black autoformatter on all files
a99a182,Erik Sundell,Sat Jun 26 19:40:07 2021 +0200,pre-commit: use black compatible flake8 config
58e7a5a,Erik Sundell,Sat Jun 26 19:39:01 2021 +0200,pre-commit: remove autopep8 black will cover that
744cb36,Erik Sundell,Sat Jun 26 19:27:13 2021 +0200,pre-commit: remove check-yaml prettier will cover that
bb75658,Erik Sundell,Sat Jun 26 19:25:39 2021 +0200,pre-commit: refactor config and add inline comment
b7087c5,Erik Sundell,Sat Jun 26 19:16:43 2021 +0200,pre-commit: add black a Python autoformatter
33caee1,Erik Sundell,Mon Jun 28 21:59:31 2021 +0200,Merge pull request #1386 from mathbunnyru/asalikhov/units_test
c73a1d1,Ayaz Salikhov,Mon Jun 28 22:29:59 2021 +0300,Update test/test_units.py
d6432e7,Ayaz Salikhov,Mon Jun 28 21:59:10 2021 +0300,Merge pull request #1392 from jupyter/pre-commit-ci-update-config
e87d910,pre-commit-ci[bot],Mon Jun 28 17:49:12 2021 +0000,[pre-commit.ci] pre-commit autoupdate
1f5dd31,Ayaz Salikhov,Mon Jun 28 11:50:03 2021 +0300,Merge pull request #1391 from mathbunnyru/asalikhov/pin_docker_action_tag
7cdc14e,Ayaz Salikhov,Mon Jun 28 10:53:32 2021 +0300,Pin docker/login-action sha tag
73a43d8,Ayaz Salikhov,Sun Jun 27 20:07:56 2021 +0300,Merge pull request #1390 from mathbunnyru/asalikhov/github_action_for_push
93726ef,Ayaz Salikhov,Sun Jun 27 19:01:39 2021 +0300,Fix typo
3336adc,Ayaz Salikhov,Sun Jun 27 18:59:26 2021 +0300,Pin GitHub action sha tag
bd8ffe6,Ayaz Salikhov,Sun Jun 27 18:54:32 2021 +0300,Create dependabot.yml for GitHub actions
17967ce,Ayaz Salikhov,Sun Jun 27 18:33:59 2021 +0300,Fix repository path
f2f44d1,Ayaz Salikhov,Sun Jun 27 17:58:36 2021 +0300,Fix
35e6727,Ayaz Salikhov,Sun Jun 27 17:38:08 2021 +0300,Actually GITHUB_SHA seems to work the same way
9632da4,Ayaz Salikhov,Sun Jun 27 17:34:26 2021 +0300,Fix sha tag
71a49a2,Ayaz Salikhov,Sun Jun 27 17:16:06 2021 +0300,Test sha
8ff5fa6,Ayaz Salikhov,Sun Jun 27 17:14:25 2021 +0300,Try to fix var name
36b039f,Ayaz Salikhov,Sun Jun 27 17:10:37 2021 +0300,Use stefanzweifel/git-auto-commit-action to push to github
52a91a3,Ayaz Salikhov,Sun Jun 27 14:16:48 2021 +0300,assert after logs output
9aafae7,Ayaz Salikhov,Sun Jun 27 13:57:20 2021 +0300,Merge branch 'master' into asalikhov/units_test
c65c56f,Ayaz Salikhov,Sun Jun 27 13:52:53 2021 +0300,Merge pull request #1389 from mathbunnyru/asalikhov/assert_after_logs
5c860df,Ayaz Salikhov,Sun Jun 27 13:19:05 2021 +0300,Move assert after logs output to make debug easier
d17515a,Ayaz Salikhov,Sun Jun 27 13:06:10 2021 +0300,Merge branch 'master' into asalikhov/units_test
aee3cbb,Ayaz Salikhov,Sun Jun 27 13:05:12 2021 +0300,Merge pull request #1388 from mathbunnyru/asalikhov/tests_style
4828b41,Ayaz Salikhov,Sun Jun 27 12:32:26 2021 +0300,Fix style in tests
532d373,Ayaz Salikhov,Sun Jun 27 12:30:07 2021 +0300,Apply suggestions from code review
a3a0a5b,Ayaz Salikhov,Sun Jun 27 01:14:06 2021 +0300,Fix
a305eaa,Ayaz Salikhov,Sun Jun 27 00:46:42 2021 +0300,Fix container running
e264a5e,Ayaz Salikhov,Sat Jun 26 19:08:04 2021 +0300,Fix link
1cef89a,Ayaz Salikhov,Sat Jun 26 18:55:29 2021 +0300,Fix link
bf05f42,Ayaz Salikhov,Sat Jun 26 18:53:54 2021 +0300,Some fixes
a93c13a,Ayaz Salikhov,Sat Jun 26 15:21:20 2021 +0300,Add pytest info
466a5fb,Ayaz Salikhov,Sat Jun 26 15:17:54 2021 +0300,Fix syntax
8477244,Ayaz Salikhov,Sat Jun 26 15:16:46 2021 +0300,Add tests README
c662739,Ayaz Salikhov,Sat Jun 26 15:07:40 2021 +0300,Simplify conftest
856577b,Ayaz Salikhov,Sat Jun 26 15:07:26 2021 +0300,Image name is a property
9bf2047,Ayaz Salikhov,Sat Jun 26 14:57:18 2021 +0300,Fix style
21927f8,Ayaz Salikhov,Sat Jun 26 14:54:14 2021 +0300,Remove redundant upper
bbb91c4,Ayaz Salikhov,Sat Jun 26 14:44:01 2021 +0300,Fix style
30a1d17,Ayaz Salikhov,Sat Jun 26 14:40:45 2021 +0300,Add a way to easily test units
5211732,Ayaz Salikhov,Wed Jun 23 18:59:10 2021 +0300,Merge pull request #1383 from mathbunnyru/asalikhov/remove_build_essential
4f7881b,Ayaz Salikhov,Wed Jun 23 17:20:40 2021 +0300,Remove build-essential install
ece49eb,Ayaz Salikhov,Tue Jun 22 19:00:20 2021 +0300,Merge pull request #1381 from mathbunnyru/asalikhov/update_julia
bd8cd75,Ayaz Salikhov,Tue Jun 22 18:15:51 2021 +0300,Update julia to 1.6.1
e8c0e9a,GitHub Actions,Mon Jun 21 17:20:00 2021 +0000,[ci skip] Automated publish for d3784434e52ea015a09ca903b39852e8f035d596
d378443,Ayaz Salikhov,Mon Jun 21 20:19:23 2021 +0300,Merge pull request #1380 from mathbunnyru/asalikhov/match_readme_and_index
a0f0150,Ayaz Salikhov,Mon Jun 21 19:56:34 2021 +0300,Make README.md match index.rst
ebc453b,GitHub Actions,Mon Jun 21 16:38:20 2021 +0000,[ci skip] Automated publish for b32574afeeaea556262972ec447cf8cbecb02cef
